Iout (VM=-0.15) X,Iout (VM=-0.15) Y,Iout (VM=-0.075) X,Iout (VM=-0.075) Y,Iout (VM=0) X,Iout (VM=0) Y,Iout (VM=0.075) X,Iout (VM=0.075) Y,Iout (VM=0.15) X,Iout (VM=0.15) Y
-0.2334000000000012,3.611854698320757e-09,-0.2334000000000012,8.940727560888235e-10,-0.2334000000000012,5.721384764515697e-10,-0.2334000000000012,5.426711674084033e-10,-0.2334000000000012,5.398212661770482e-10
-0.2328000000000012,3.658178580862412e-09,-0.2328000000000012,9.00881632555227e-10,-0.2328000000000012,5.727487306132724e-10,-0.2328000000000012,5.427204282693561e-10,-0.2328000000000012,5.398198818434599e-10
-0.2322000000000012,3.704970171549558e-09,-0.2322000000000012,9.078206327300054e-10,-0.2322000000000012,5.733708690238579e-10,-0.2322000000000012,5.427707737132251e-10,-0.2322000000000012,5.398186104182366e-10
-0.2316000000000012,3.752227340273852e-09,-0.2316000000000012,9.148921279185841e-10,-0.2316000000000012,5.740051212888893e-10,-0.2316000000000012,5.428222239750293e-10,-0.2316000000000012,5.398174535070231e-10
-0.2310000000000012,3.799947719668881e-09,-0.2310000000000012,9.220985264719552e-10,-0.2310000000000012,5.746517218095003e-10,-0.2310000000000012,5.428748002623229e-10,-0.2310000000000012,5.398164130147774e-10
-0.2304000000000012,3.848128700205742e-09,-0.2304000000000012,9.294422729675277e-10,-0.2304000000000012,5.753109093130893e-10,-0.2304000000000012,5.429285238582678e-10,-0.2304000000000012,5.398154910465608e-10
-0.2298000000000012,3.896767425654661e-09,-0.2298000000000012,9.369258490587064e-10,-0.2298000000000012,5.759829273926385e-10,-0.2298000000000012,5.429834161749166e-10,-0.2298000000000012,5.398146891709757e-10
-0.2292000000000012,3.945860788386582e-09,-0.2292000000000012,9.445517735479681e-10,-0.2292000000000012,5.766680242953611e-10,-0.2292000000000012,5.430394996267431e-10,-0.2292000000000012,5.39814009500487e-10
-0.2286000000000012,3.995405425101865e-09,-0.2286000000000012,9.523226020460419e-10,-0.2286000000000012,5.773664529691226e-10,-0.2286000000000012,5.430967966110291e-10,-0.2286000000000012,5.398134542504722e-10
-0.2280000000000013,4.04539771275738e-09,-0.2280000000000013,9.602409282096867e-10,-0.2280000000000013,5.780784717442489e-10,-0.2280000000000013,5.431553301806895e-10,-0.2280000000000013,5.398130249204807e-10
-0.2274000000000013,4.095833763715614e-09,-0.2274000000000013,9.683093827722514e-10,-0.2274000000000013,5.788043434895854e-10,-0.2274000000000013,5.43215123768894e-10,-0.2274000000000013,5.398127240416845e-10
-0.2268000000000013,4.146709422699025e-09,-0.2268000000000013,9.765306342373895e-10,-0.2268000000000013,5.795443365062547e-10,-0.2268000000000013,5.432762012013112e-10,-0.2268000000000013,5.398125536166951e-10
-0.2262000000000013,4.198020261414176e-09,-0.2262000000000013,9.84907389206198e-10,-0.2262000000000013,5.802987244003267e-10,-0.2262000000000013,5.433385867885511e-10,-0.2262000000000013,5.3981251575222e-10
-0.2256000000000013,4.249761576338852e-09,-0.2256000000000013,9.934423916259374e-10,-0.2256000000000013,5.810677860497603e-10,-0.2256000000000013,5.434023054204828e-10,-0.2256000000000013,5.398126125729277e-10
-0.2250000000000013,4.301928383840805e-09,-0.2250000000000013,1.00213842399635e-09,-0.2250000000000013,5.818518054957525e-10,-0.2250000000000013,5.43467382405462e-10,-0.2250000000000013,5.398128463050399e-10
